"question_id","copen_n","main_n","intersection","union","jaccard","copen_set","main_set","parse_status"
"0","2","2","2","2","1.0","Chi-square Independence Test; Fisher Exact Test","Chi-square Independence Test; Fisher Exact Test","json_ok"
"1","1","4","1","4","0.25","Partial Correlation Coefficient","Kendall Correlation Coefficient; Partial Correlation Coefficient; Skewness; Spearman Correlation Coefficient","json_ok"
"2","1","3","1","3","0.333","Partial Correlation Coefficient","Partial Correlation Coefficient; Skewness; Spearman Correlation Coefficient","json_ok"
"3","3","1","1","3","0.333","Chi-square Independence Test; Fisher Exact Test; Mantel-Haenszel Test","Chi-square Independence Test","json_ok"
"4","1","3","1","3","0.333","Median","Median; Quartile; Skewness","json_ok"
"5","3","6","1","8","0.125","Bartlett Test; F-Test for Variance; Levene Test","Kolmogorov-Smirnov Test; Kurtosis; Levene Test; Median; Skewness; Standard Deviation","json_ok"
"6","3","8","1","10","0.1","Bartlett Test; F-Test for Variance; Levene Test","Kolmogorov-Smirnov Test; Kolmogorov-Smirnov Test for Normality; Kurtosis; Levene Test; Mean; Median; Skewness; Standard Deviation","json_ok"
"7","1","6","1","6","0.167","Kolmogorov-Smirnov Test for Exponential distribution","Anderson-Darling Test; Kolmogorov-Smirnov Test; Kolmogorov-Smirnov Test for Exponential distribution; Lilliefors Test; Median; Skewness","json_ok"
"8","2","1","0","3","0.0","Chi-square Independence Test; Fisher Exact Test","Skewness","json_ok"
"9","4","1","0","5","0.0","Kendall Correlation Coefficient; Partial Correlation Coefficient; Pearson Correlation Coefficient; Spearman Correlation Coefficient","Skewness","json_ok"
"10","1","4","1","4","0.25","Mean","Mean; Median; Skewness; Standard Deviation","json_ok"
"11","1","5","1","5","0.2","Partial Correlation Coefficient","Kendall Correlation Coefficient; Partial Correlation Coefficient; Pearson Correlation Coefficient; Skewness; Spearman Correlation Coefficient","json_ok"
"12","3","1","1","3","0.333","Bartlett Test; F-Test for Variance; Levene Test","Levene Test","json_ok"
"13","1","1","1","1","1.0","Mode","Mode","json_ok"
"14","3","4","0","7","0.0","Bartlett Test; F-Test for Variance; Levene Test","Mean; Median; Skewness; Standard Deviation","json_ok"
"15","1","6","1","6","0.167","Standard Deviation","Kolmogorov-Smirnov Test for Normality; Kurtosis; Mean; Shapiro-Wilk Test of Normality; Skewness; Standard Deviation","json_ok"
"16","4","3","2","5","0.4","Kendall Correlation Coefficient; Partial Correlation Coefficient; Pearson Correlation Coefficient; Spearman Correlation Coefficient","Kendall Correlation Coefficient; Skewness; Spearman Correlation Coefficient","json_ok"
"17","1","1","1","1","1.0","Kurtosis","Kurtosis","json_ok"
"18","4","4","3","5","0.6","Kendall Correlation Coefficient; Partial Correlation Coefficient; Pearson Correlation Coefficient; Spearman Correlation Coefficient","Kendall Correlation Coefficient; Pearson Correlation Coefficient; Skewness; Spearman Correlation Coefficient","json_ok"
"19","3","1","1","3","0.333","Chi-square Independence Test; Fisher Exact Test; Mantel-Haenszel Test","Chi-square Independence Test","json_ok"
