"question_id","task","ssc","add_rate_in","drop_rate","add_out_count","selection_accuracy","applicable_set_size","gt_recall","selection_parse_status"
"0","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"1","Variance Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"2","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"3","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"4","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"5","Variance Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"6","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"7","Variance Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"8","Distribution Compliance Test","1.0","0.0","0.0","0","1","1","1.0","json_ok"
"9","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"10","Variance Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"11","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"12","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"13","Contingency Table Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"14","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"15","Contingency Table Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"16","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"17","Contingency Table Test","1.0","0.0","0.0","0","1","1","1.0","json_ok"
"18","Contingency Table Test","1.0","0.0","0.0","0","1","1","1.0","json_ok"
"19","Variance Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"20","Correlation Analysis","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"21","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"22","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"23","Variance Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"24","Distribution Compliance Test","1.0","0.0","0.0","0","1","1","1.0","json_ok"
"25","Contingency Table Test","1.0","0.0","0.0","0","1","1","1.0","json_ok"
"26","Variance Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"27","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"28","Distribution Compliance Test","1.0","0.0","0.0","0","1","1","1.0","json_ok"
"29","Contingency Table Test","1.0","0.0","0.0","0","1","1","1.0","json_ok"
"30","Contingency Table Test","1.0","0.0","0.0","0","1","1","1.0","json_ok"
"31","Variance Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"32","Variance Test","1.0","","0.0","0","1","4","1.0","json_ok"
"33","Variance Test","1.0","","0.0","0","1","4","1.0","json_ok"
"34","Correlation Analysis","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"35","Contingency Table Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"36","Variance Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"37","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"38","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"39","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"40","Variance Test","1.0","","0.0","0","1","4","1.0","json_ok"
"41","Correlation Analysis","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"42","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"43","Variance Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"44","Contingency Table Test","1.0","0.0","0.0","0","1","1","1.0","json_ok"
"45","Variance Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"46","Variance Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
"47","Correlation Analysis","1.0","0.0","0.0","0","1","1","1.0","json_ok"
"48","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0","json_ok"
"49","Contingency Table Test","1.0","0.0","0.0","0","1","2","1.0","json_ok"
