"question_id","task","method","selected","high_disconnect_risk","is_high_freq"
"0","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"0","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"0","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"0","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"0","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"1","Variance Test","Bartlett Test","0","0","1"
"1","Variance Test","F-Test for Variance","0","0","1"
"2","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"2","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"2","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"2","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"2","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"3","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"3","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"3","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"3","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"3","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"4","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"4","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"4","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"4","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"4","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"5","Variance Test","Bartlett Test","0","0","1"
"5","Variance Test","F-Test for Variance","0","0","1"
"6","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"6","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"6","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"6","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"6","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"7","Variance Test","Bartlett Test","0","0","1"
"7","Variance Test","F-Test for Variance","0","0","1"
"8","Distribution Compliance Test","Anderson-Darling Test","0","0","1"
"8","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"8","Distribution Compliance Test","Kolmogorov-Smirnov Test for Normality","0","0","0"
"8","Distribution Compliance Test","Lilliefors Test","0","0","0"
"8","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"8","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"8","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"9","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"9","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"9","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
"9","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","0","0","0"
"9","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","0","0","0"
"10","Variance Test","Bartlett Test","0","0","1"
"10","Variance Test","F-Test for Variance","0","0","1"
"11","Distribution Compliance Test","Shapiro-Wilk Test of Normality","0","0","0"
"11","Distribution Compliance Test","Kolmogorov-Smirnov Test","0","0","0"
"11","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","0","0","0"
