model,variant,label_clarity_auto,n,overall_accuracy,over_selection_rate,mean_ssc
14B,V0,narrative_only,91,0.6373626373626373,0.27472527472527475,
14B,V0,partially_labeled,201,0.2736318407960199,0.6268656716417911,0.7645542130616758
14B,V0,fully_labeled,106,0.5,0.42452830188679247,0.7753406708595387
14B,V1,narrative_only,96,0.6145833333333334,0.34375,
14B,V1,partially_labeled,215,0.4,0.5162790697674419,0.8326910299003324
14B,V1,fully_labeled,87,0.42528735632183906,0.5057471264367817,0.7391534391534392
14B,V2,partially_labeled,8,0.5,0.25,1.0
14B,V2,fully_labeled,390,0.22564102564102564,0.7410256410256411,0.9724667616334283
14B,V3,partially_labeled,1,1.0,0.0,1.0
14B,V3,fully_labeled,397,0.14105793450881612,0.8513853904282116,0.957668625804646
