"question_id","task","step3_correct","ssc","add_rate_in","drop_rate","add_out_count","selection_accuracy","applicable_set_size","gt_recall"
"0","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","1.0"
"2","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","1.0"
"1","Variance Test","True","1.0","0.0","0.0","0","1","2","1.0"
"6","Distribution Compliance Test","False","1.0","0.0","","0","0","0","0.0"
"5","Variance Test","True","1.0","0.0","0.0","0","1","2","1.0"
"7","Variance Test","True","1.0","0.0","0.0","0","1","2","1.0"
"3","Distribution Compliance Test","True","1.0","0.0","","0","0","0","0.0"
"10","Variance Test","True","1.0","0.0","0.0","0","1","2","1.0"
"11","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","1.0"
"4","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","1.0"
"9","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","5","1.0"
"13","Contingency Table Test","True","1.0","0.0","0.0","0","1","2","1.0"
"8","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","5","1.0"
"15","Contingency Table Test","True","1.0","0.0","0.0","0","1","2","1.0"
"12","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","1.0"
"17","Contingency Table Test","True","1.0","0.0","0.0","0","0","2","1.0"
"18","Contingency Table Test","True","1.0","0.0","0.0","0","0","2","1.0"
"19","Variance Test","True","1.0","0.0","0.0","0","1","2","1.0"
"20","Correlation Analysis","True","1.0","0.0","0.0","0","0","2","0.6666666666666666"
"23","Variance Test","False","1.0","0.0","","0","0","0","0.0"
"16","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","1.0"
"14","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","1.0"
"25","Contingency Table Test","True","1.0","0.0","0.0","0","0","2","1.0"
"26","Variance Test","True","1.0","0.0","0.0","0","1","2","1.0"
"22","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","1.0"
"21","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","1.0"
"28","Distribution Compliance Test","False","1.0","0.0","","0","0","0","0.0"
"30","Contingency Table Test","True","1.0","0.0","0.0","0","0","2","1.0"
"24","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","2","1.0"
"29","Contingency Table Test","True","1.0","","0.0","0","0","3","1.0"
"31","Variance Test","True","1.0","0.0","0.0","0","1","2","1.0"
"27","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","1.0"
"32","Variance Test","True","1.0","0.0","0.0","0","0","2","0.5"
"33","Variance Test","True","1.0","0.0","0.0","0","0","2","0.5"
"34","Correlation Analysis","True","1.0","0.0","0.0","0","0","2","0.6666666666666666"
"36","Variance Test","True","1.0","0.0","0.0","0","1","2","1.0"
"35","Contingency Table Test","True","1.0","0.0","0.0","0","1","2","1.0"
"37","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","3","0.0"
"40","Variance Test","True","1.0","0.0","0.0","0","0","2","0.5"
"41","Correlation Analysis","True","1.0","0.0","0.0","0","0","2","0.6666666666666666"
"43","Variance Test","True","1.0","0.0","0.0","0","1","2","1.0"
"44","Contingency Table Test","True","1.0","0.0","0.0","0","0","2","1.0"
"45","Variance Test","True","1.0","0.0","0.0","0","1","2","1.0"
"46","Variance Test","True","1.0","0.0","0.0","0","1","2","1.0"
"38","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","0.3333333333333333"
"47","Correlation Analysis","True","1.0","0.0","0.0","0","0","3","1.0"
"48","Distribution Compliance Test","True","1.0","0.0","","0","0","0","0.0"
"42","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","1.0"
"49","Contingency Table Test","True","1.0","0.0","0.0","0","1","2","1.0"
"39","Distribution Compliance Test","True","1.0","0.0","0.0","0","0","4","1.0"
