"question_id","task","ssc","add_rate_in","drop_rate","add_out_count","selection_accuracy","applicable_set_size","gt_recall"
"1","Variance Test","1.0","0.0","0.0","0","1","2","1.0"
"3","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"4","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"2","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"0","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"5","Variance Test","1.0","0.0","0.0","0","1","2","1.0"
"8","Distribution Compliance Test","1.0","0.0","0.0","0","1","1","1.0"
"9","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"7","Variance Test","1.0","0.0","0.0","0","1","2","1.0"
"6","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"10","Variance Test","1.0","0.0","0.0","0","1","2","1.0"
"11","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"15","Contingency Table Test","1.0","0.0","0.0","0","1","2","1.0"
"14","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"12","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"13","Contingency Table Test","1.0","0.0","0.0","0","1","2","1.0"
"17","Contingency Table Test","1.0","0.0","0.0","0","1","1","1.0"
"18","Contingency Table Test","1.0","0.0","0.0","0","1","1","1.0"
"16","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"19","Variance Test","1.0","0.0","0.0","0","1","2","1.0"
"20","Correlation Analysis","1.0","0.0","0.0","0","1","3","1.0"
"23","Variance Test","1.0","0.0","0.0","0","1","2","1.0"
"22","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"21","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"24","Distribution Compliance Test","1.0","0.0","0.0","0","1","1","1.0"
"25","Contingency Table Test","1.0","0.0","0.0","0","1","1","1.0"
"26","Variance Test","1.0","0.0","0.0","0","1","2","1.0"
"28","Distribution Compliance Test","1.0","0.0","0.0","0","1","1","1.0"
"29","Contingency Table Test","1.0","0.0","0.0","0","1","1","1.0"
"30","Contingency Table Test","1.0","0.0","0.0","0","1","1","1.0"
"27","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"31","Variance Test","1.0","0.0","0.0","0","1","2","1.0"
"32","Variance Test","1.0","","0.0","0","1","4","1.0"
"35","Contingency Table Test","1.0","0.0","0.0","0","1","2","1.0"
"33","Variance Test","1.0","","0.0","0","1","4","1.0"
"34","Correlation Analysis","1.0","0.0","0.0","0","1","3","1.0"
"36","Variance Test","1.0","0.0","0.0","0","1","2","1.0"
"38","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"37","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"40","Variance Test","1.0","","0.0","0","1","4","1.0"
"39","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"41","Correlation Analysis","1.0","0.0","0.0","0","1","3","1.0"
"44","Contingency Table Test","1.0","0.0","0.0","0","1","1","1.0"
"45","Variance Test","1.0","0.0","0.0","0","1","2","1.0"
"46","Variance Test","1.0","0.0","0.0","0","1","2","1.0"
"43","Variance Test","1.0","0.0","0.0","0","1","2","1.0"
"42","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"47","Correlation Analysis","1.0","0.0","0.0","0","1","1","1.0"
"48","Distribution Compliance Test","1.0","0.0","0.0","0","1","3","1.0"
"49","Contingency Table Test","1.0","0.0","0.0","0","1","2","1.0"
