"question_id","method","selected","is_high_freq"
"1","Bartlett Test","0","1"
"1","F-Test for Variance","0","1"
"3","Shapiro-Wilk Test of Normality","0","0"
"3","Kolmogorov-Smirnov Test","0","0"
"3","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"3","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"3","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"4","Shapiro-Wilk Test of Normality","0","0"
"4","Kolmogorov-Smirnov Test","0","0"
"4","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"4","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"4","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"2","Shapiro-Wilk Test of Normality","0","0"
"2","Kolmogorov-Smirnov Test","0","0"
"2","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"2","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"2","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"0","Shapiro-Wilk Test of Normality","0","0"
"0","Kolmogorov-Smirnov Test","0","0"
"0","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"0","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"0","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"5","Bartlett Test","0","1"
"5","F-Test for Variance","0","1"
"8","Anderson-Darling Test","0","1"
"8","Shapiro-Wilk Test of Normality","0","0"
"8","Kolmogorov-Smirnov Test for Normality","0","0"
"8","Lilliefors Test","0","0"
"8","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"8","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"8","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"9","Shapiro-Wilk Test of Normality","0","0"
"9","Kolmogorov-Smirnov Test","0","0"
"9","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"9","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"9","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"7","Bartlett Test","0","1"
"7","F-Test for Variance","0","1"
"6","Shapiro-Wilk Test of Normality","0","0"
"6","Kolmogorov-Smirnov Test","0","0"
"6","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"6","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"6","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"10","Bartlett Test","0","1"
"10","F-Test for Variance","0","1"
"11","Shapiro-Wilk Test of Normality","0","0"
"11","Kolmogorov-Smirnov Test","0","0"
"11","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"11","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"11","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"15","Mantel-Haenszel Test","0","1"
"14","Shapiro-Wilk Test of Normality","0","0"
"14","Kolmogorov-Smirnov Test","0","0"
"14","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"14","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"14","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"12","Shapiro-Wilk Test of Normality","0","0"
"12","Kolmogorov-Smirnov Test","0","0"
"12","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"12","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"12","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
"13","Mantel-Haenszel Test","0","1"
"17","Fisher Exact Test","0","1"
"17","Mantel-Haenszel Test","0","1"
"18","Fisher Exact Test","0","1"
"18","Mantel-Haenszel Test","0","1"
"16","Shapiro-Wilk Test of Normality","0","0"
"16","Kolmogorov-Smirnov Test","0","0"
"16","Kolmogorov-Smirnov Test for Uniform distribution","0","0"
"16","Kolmogorov-Smirnov Test for Gamma distribution","0","0"
"16","Kolmogorov-Smirnov Test for Exponential distribution","0","0"
