model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
columns-llama3_8b_instruct_one-shot,0.83147,0.80357,0.83203,0.88559,0.71311,0.9112
columns-llama2_13b_one-shot,0.60361,0.39881,0.54297,0.69492,0.52459,0.78764
columns-qwen2.5_72b_PS_AE_check,0.96389,0.93452,0.9375,0.99153,0.97541,0.97297
columns-qwen_PS_with_tqwen2.5_14b_PS_with_t,0.87532,0.7619,0.80859,0.92373,0.88525,0.96139
columns-qwen_PS_originalqwen2.5_7b_PS_original,0.82631,0.83333,0.78906,0.85169,0.81148,0.84942
columns-llama2_13b_one-shot-CoT,0.63801,0.48214,0.53125,0.75847,0.57787,0.79151
columns-llama2_13b_zero-shot,0.39295,0.36905,0.16016,0.50847,0.36885,0.55598
columns-llama3_8b_stats-prompt,0.865,0.78571,0.80859,0.90678,0.89754,0.90347
columns-llama2_13b_stats-prompt,0.59845,0.42857,0.48047,0.72881,0.51639,0.78378
columns-qwen_PS_AE_checkqwen2.5_14b_PS_AE_check,0.95529,0.90476,0.93359,0.98729,0.95902,0.97683
columns-llama2_7b_sft_zero-shot,0.82717,0.67262,0.70703,0.91949,0.87705,0.91506
columns-llama3_8b_one-shot-CoT,0.58641,0.57143,0.62891,0.58475,0.34836,0.77992
columns-llama2_13b_zero-shot-CoT,0.43164,0.3869,0.22266,0.52542,0.39344,0.61776
columns-llama3_8b_one-shot,0.87016,0.76786,0.82812,0.91525,0.88115,0.92664
columns-llama3_8b_zero-shot,0.79622,0.67857,0.77734,0.80508,0.78689,0.89189
columns-llama2_7b_zero-shot,0.31298,0.25,0.26172,0.31356,0.33197,0.3861
columns-qwen_PS_with_tqwen2.5_7b_PS_with_t,0.87188,0.85119,0.82422,0.90254,0.88115,0.89575
columns-qwen_zero-shotqwen2.5_14b_zero-shot,0.95357,0.90476,0.92969,0.99576,0.95082,0.97297
columns-llama2_7b_one-shot-CoT,0.43078,0.27976,0.38281,0.39407,0.52869,0.51737
columns-llama2_7b_plan-and-check,0.2184,0.20238,0.16406,0.20339,0.28689,0.23166
columns-qwen_zero-shot-CoTqwen2.5_7b_zero-shot-CoT,0.81771,0.82738,0.76562,0.83475,0.81557,0.84942
columns-qwen2.5_72b_zero-shot-CoT,0.95529,0.91667,0.92188,0.99576,0.96311,0.96911
columns-qwen_zero-shot-CoTqwen2.5_14b_zero-shot-CoT,0.95099,0.92262,0.93359,0.97458,0.95082,0.96525
columns-qwen_PS_AE_checkqwen2.5_7b_PS_AE_check,0.86758,0.83929,0.80078,0.88559,0.90164,0.90347
columns-llama3_8b_instruct_zero-shot-CoT,0.72227,0.67262,0.79297,0.69068,0.65984,0.7722
columns-qwen2.5_72b_zero-shot,0.95873,0.91667,0.93359,0.99576,0.96311,0.97297
columns-llama3_8b_instruct_one-shot-CoT,0.83147,0.77381,0.81641,0.83898,0.77869,0.92664
columns-qwen_PS_originalqwen2.5_14b_PS_original,0.94755,0.90476,0.94141,0.97881,0.94262,0.95753
columns-llama2_7b_zero-shot-CoT,0.26999,0.22619,0.21094,0.27966,0.31557,0.30502
columns-llama2_7b_stats-prompt,0.4454,0.33333,0.39453,0.44915,0.47541,0.53668
columns-llama2_13b_self-consistency-CoT,0.27859,0.21429,0.22656,0.36441,0.2582,0.31274
columns-llama3_8b_instruct_stats-prompt,0.82115,0.80952,0.82812,0.85169,0.70492,0.90347
columns-llama3_8b_instruct_zero-shot,0.71625,0.71429,0.76953,0.66525,0.62295,0.79923
columns-llama3_8b_zero-shot-CoT,0.61737,0.58333,0.6875,0.54661,0.57377,0.67568
columns-qwen_zero-shotqwen2.5_7b_zero-shot,0.88392,0.85714,0.83203,0.93644,0.88525,0.90347
columns-llama2_7b_one-shot,0.44626,0.35119,0.42578,0.42797,0.4959,0.49807
