model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
methods-llama2_13b_one-shot,0.27601,0.30952,0.10156,0.13983,0.10656,0.71042
methods-qwen_zero-shot-CoTqwen2.5_14b_zero-shot-CoT,0.47291,0.57143,0.28906,0.30508,0.29508,0.9112
methods-qwen_PS_with_tqwen2.5_14b_PS_with_t,0.43164,0.66071,0.16797,0.29661,0.17213,0.9112
methods-llama3_8b_stats-prompt,0.40069,0.32738,0.23828,0.32627,0.18443,0.88031
methods-qwen_zero-shotqwen2.5_14b_zero-shot,0.40499,0.65476,0.15234,0.22034,0.14344,0.90734
methods-llama3_8b_instruct_zero-shot,0.11436,0.09524,0.11719,0.08051,0.0041,0.25869
methods-llama2_7b_plan-and-check,0.04557,0.0119,0.00781,0.02966,0.14344,0.02703
methods-llama2_13b_stats-prompt,0.30868,0.32143,0.17578,0.20339,0.20082,0.62934
methods-llama3_8b_instruct_one-shot,0.31814,0.2381,0.14062,0.15254,0.19262,0.81467
methods-qwen2.5_72b_PS_AE_check,0.53568,0.31548,0.46094,0.27966,0.65164,0.87645
methods-llama2_13b_self-consistency-CoT,0.12468,0.1369,0.05859,0.08475,0.02459,0.31274
methods-qwen_PS_AE_checkqwen2.5_7b_PS_AE_check,0.38607,0.38095,0.42188,0.19068,0.02869,0.86873
methods-llama2_7b_one-shot-CoT,0.27171,0.07738,0.11719,0.11864,0.37705,0.59073
methods-llama3_8b_instruct_zero-shot-CoT,0.13414,0.18452,0.14453,0.11441,0.0123,0.22394
methods-qwen_zero-shot-CoTqwen2.5_7b_zero-shot-CoT,0.38521,0.54167,0.28906,0.1822,0.02459,0.90347
methods-llama2_7b_one-shot,0.25795,0.07143,0.11328,0.10593,0.34016,0.58301
methods-llama2_13b_zero-shot,0.16595,0.10714,0.01953,0.16102,0.07787,0.43629
methods-llama3_8b_instruct_one-shot-CoT,0.3362,0.35714,0.18359,0.1822,0.15164,0.78764
methods-llama2_13b_zero-shot-CoT,0.15735,0.10119,0.03906,0.13983,0.08607,0.39382
methods-llama3_8b_one-shot-CoT,0.29149,0.24405,0.17969,0.14407,0.09426,0.7529
methods-llama2_7b_sft_zero-shot,0.76354,0.78571,0.57031,0.89831,0.59836,0.97297
methods-qwen2.5_72b_zero-shot-CoT,0.47979,0.54167,0.47266,0.4322,0.0082,0.93436
methods-qwen2.5_72b_zero-shot,0.48495,0.51786,0.46484,0.44915,0.04098,0.93436
methods-llama2_7b_zero-shot-CoT,0.18745,0.04762,0.01562,0.05932,0.32787,0.43243
methods-llama2_7b_stats-prompt,0.28289,0.06548,0.20312,0.15678,0.32377,0.57915
methods-qwen_PS_with_tqwen2.5_7b_PS_with_t,0.39381,0.4881,0.35938,0.1822,0.01639,0.91506
methods-llama2_13b_one-shot-CoT,0.27601,0.31548,0.13672,0.13983,0.06557,0.71042
methods-llama3_8b_zero-shot-CoT,0.24936,0.03571,0.13281,0.15254,0.17213,0.66409
methods-llama3_8b_instruct_stats-prompt,0.31556,0.23214,0.21875,0.24153,0.15164,0.68726
methods-qwen_PS_originalqwen2.5_7b_PS_original,0.38005,0.53571,0.28516,0.1822,0.02049,0.89189
methods-llama2_7b_zero-shot,0.17713,0.04762,0.02344,0.03814,0.27049,0.45174
methods-qwen_PS_AE_checkqwen2.5_14b_PS_AE_check,0.49183,0.54167,0.41016,0.29237,0.31148,0.89189
methods-llama3_8b_zero-shot,0.28375,0.02381,0.00391,0.1822,0.28689,0.81853
methods-qwen_PS_originalqwen2.5_14b_PS_original,0.41015,0.65476,0.14453,0.29237,0.09016,0.92278
methods-qwen_zero-shotqwen2.5_7b_zero-shot,0.38349,0.56548,0.25781,0.19068,0.03279,0.89575
methods-llama3_8b_one-shot,0.3534,0.22024,0.10156,0.22458,0.27459,0.88031
