model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
overall-llama2_13b_self-consistency-CoT,0.0877,0.04762,0.02344,0.07627,0.0082,0.26255
overall-qwen_PS_with_tqwen2.5_7b_PS_with_t,0.35684,0.46429,0.31641,0.15678,0.01639,0.83012
overall-llama3_8b_instruct_one-shot-CoT,0.28977,0.27381,0.16406,0.16102,0.07377,0.74517
overall-qwen2.5_72b_zero-shot-CoT,0.46862,0.53571,0.44141,0.4322,0.0082,0.91892
overall-llama3_8b_one-shot,0.3233,0.19048,0.08203,0.20339,0.2418,0.83398
overall-llama3_8b_instruct_one-shot,0.27343,0.19643,0.125,0.14831,0.09426,0.7529
overall-llama2_13b_zero-shot,0.092,0.01786,0.00391,0.08475,0.03279,0.28958
overall-llama3_8b_instruct_stats-prompt,0.26397,0.17857,0.18359,0.19915,0.06967,0.64093
overall-llama2_7b_plan-and-check,0.0129,0.0,0.00391,0.00424,0.03279,0.01931
overall-llama3_8b_stats-prompt,0.36371,0.26786,0.21484,0.29237,0.16393,0.82625
overall-qwen_PS_with_tqwen2.5_14b_PS_with_t,0.4196,0.63095,0.15625,0.29237,0.17213,0.89189
overall-llama2_7b_one-shot-CoT,0.16595,0.0119,0.07422,0.07203,0.21721,0.39382
overall-qwen_zero-shotqwen2.5_14b_zero-shot,0.39725,0.6369,0.14844,0.22034,0.14344,0.88803
overall-qwen_zero-shot-CoTqwen2.5_7b_zero-shot-CoT,0.33362,0.50595,0.23438,0.12712,0.02049,0.80309
overall-llama3_8b_zero-shot,0.25365,0.0119,0.00391,0.16525,0.21311,0.77606
overall-llama2_7b_one-shot,0.14961,0.00595,0.0625,0.05932,0.19262,0.37066
overall-qwen_zero-shotqwen2.5_7b_zero-shot,0.35512,0.53571,0.23047,0.16525,0.03279,0.83784
overall-llama3_8b_instruct_zero-shot-CoT,0.11178,0.16071,0.125,0.07627,0.0041,0.20077
overall-llama3_8b_zero-shot-CoT,0.21926,0.02381,0.125,0.13983,0.12295,0.60232
overall-llama2_13b_one-shot,0.17971,0.09524,0.05469,0.09322,0.02049,0.58687
overall-qwen_PS_originalqwen2.5_14b_PS_original,0.39897,0.6369,0.13672,0.28814,0.09016,0.89575
overall-qwen2.5_72b_PS_AE_check,0.52537,0.30952,0.45312,0.27542,0.63934,0.85714
overall-llama2_7b_sft_zero-shot,0.63715,0.56548,0.37109,0.82627,0.5123,0.89189
overall-llama2_7b_stats-prompt,0.16251,0.00595,0.08203,0.09322,0.18443,0.3861
overall-qwen2.5_72b_zero-shot,0.47377,0.50595,0.44141,0.44492,0.03689,0.92278
overall-qwen_PS_AE_checkqwen2.5_7b_PS_AE_check,0.34566,0.3631,0.35547,0.14831,0.02869,0.80309
overall-llama2_13b_stats-prompt,0.20206,0.08333,0.07031,0.16525,0.11475,0.5251
overall-llama3_8b_instruct_zero-shot,0.0963,0.07738,0.10547,0.05085,0.0041,0.2278
overall-qwen_PS_AE_checkqwen2.5_14b_PS_AE_check,0.47807,0.52976,0.38672,0.28814,0.29918,0.87645
overall-qwen_zero-shot-CoTqwen2.5_14b_zero-shot-CoT,0.46088,0.55357,0.26953,0.30085,0.29508,0.89189
overall-llama2_13b_one-shot-CoT,0.20378,0.125,0.10547,0.12288,0.0123,0.60618
overall-llama3_8b_one-shot-CoT,0.26913,0.20833,0.16797,0.13136,0.06967,0.72201
overall-llama2_7b_zero-shot-CoT,0.07395,0.0119,0.01172,0.02119,0.10656,0.19305
overall-llama2_13b_zero-shot-CoT,0.09286,0.03571,0.01953,0.08051,0.03689,0.26641
overall-qwen_PS_originalqwen2.5_7b_PS_original,0.33448,0.49405,0.24219,0.13559,0.02049,0.79923
overall-llama2_7b_zero-shot,0.08083,0.01786,0.01172,0.02119,0.06967,0.25483
