Model,Invalid Answer,Column Selection Error (CSE),Statistical Task Confusion (STC),Applicability Error (AE),Mixed Errors (CSE+STC),Mixed Errors (CSE+AE),Mixed Errors (STC+AE),Mixed Errors (CSE+STC+AE)
llama3_8b_zero-shot,0.01548,0.03009,0.09028,0.45056,0.02837,0.13156,0.0,0.0
llama3_8b_one-shot-CoT,0.31298,0.02236,0.12812,0.18229,0.03267,0.05245,0.0,0.0
llama2_13b_one-shot,0.02752,0.0963,0.20206,0.20292,0.17799,0.1135,0.0,0.0
qwen2.5_72b_zero-shot-CoT,0.00258,0.01118,0.08169,0.40327,0.01634,0.01634,0.0,0.0
llama3_8b_one-shot,0.01376,0.03009,0.15305,0.38607,0.03095,0.06277,0.0,0.0
llama2_7b_sft_zero-shot,0.00258,0.1264,0.01978,0.16939,0.01634,0.02837,0.0,0.0
qwen_zero-shotqwen2.5_14b_zero-shot,0.11608,0.00774,0.04729,0.40241,0.00946,0.01978,0.0,0.0
llama3_8b_instruct_zero-shot,0.13156,0.01806,0.09802,0.44368,0.04385,0.16853,0.0,0.0
llama2_7b_zero-shot-CoT,0.30525,0.1135,0.05245,0.08169,0.15821,0.21496,0.0,0.0
llama2_13b_zero-shot-CoT,0.06707,0.06449,0.18143,0.12296,0.25967,0.21152,0.0,0.0
qwen_PS_with_tqwen2.5_14b_PS_with_t,0.16509,0.01204,0.05417,0.32416,0.00688,0.01806,0.0,0.0
qwen_PS_AE_checkqwen2.5_14b_PS_AE_check,0.00172,0.01376,0.04557,0.43078,0.01204,0.01806,0.0,0.0
llama2_7b_one-shot,0.08684,0.10834,0.12468,0.12984,0.21324,0.18745,0.0,0.0
llama2_13b_self-consistency-CoT,0.57352,0.03697,0.10318,0.07997,0.07653,0.04213,0.0,0.0
llama3_8b_zero-shot-CoT,0.22442,0.03009,0.11952,0.27773,0.03697,0.092,0.0,0.0
qwen_PS_originalqwen2.5_7b_PS_original,0.02064,0.04557,0.15219,0.32244,0.04385,0.08083,0.0,0.0
qwen2.5_14b_PS_with_t_50_with_AE_component,0.0,0.0,0.0,0.98,0.0,0.02,0.0,0.0
llama3_8b_stats-prompt,0.00688,0.03697,0.15649,0.34222,0.02752,0.06621,0.0,0.0
qwen_PS_with_tqwen2.5_7b_PS_with_t,0.01806,0.03697,0.18659,0.31298,0.03955,0.04901,0.0,0.0
llama2_13b_stats-prompt,0.01376,0.10662,0.2313,0.15735,0.19175,0.09716,0.0,0.0
qwen2.5_72b_IA_sample20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama3_8b_instruct_one-shot-CoT,0.05331,0.04643,0.16079,0.34824,0.03611,0.06535,0.0,0.0
llama2_7b_zero-shot,0.26053,0.0963,0.07395,0.09802,0.15907,0.2313,0.0,0.0
llama3_8b_instruct_stats-prompt,0.01118,0.05159,0.11952,0.42906,0.03181,0.09286,0.0,0.0
llama3_8b_instruct_zero-shot-CoT,0.13586,0.02236,0.16165,0.37489,0.04815,0.14531,0.0,0.0
llama2_7b_stats-prompt,0.06449,0.12038,0.14531,0.10834,0.2356,0.16337,0.0,0.0
qwen2.5_14b_AE_check_component,0.0,0.0,0.0,0.96,0.0,0.04,0.0,0.0
qwen_zero-shot-CoTqwen2.5_7b_zero-shot-CoT,0.02322,0.05159,0.15649,0.30696,0.04557,0.08255,0.0,0.0
qwen_zero-shotqwen2.5_7b_zero-shot,0.0172,0.02837,0.15993,0.3534,0.03353,0.05245,0.0,0.0
llama2_13b_zero-shot,0.06277,0.07395,0.15305,0.1178,0.28461,0.21582,0.0,0.0
llama2_7b_one-shot-CoT,0.1135,0.10576,0.10748,0.10318,0.18917,0.21496,0.0,0.0
qwen2.5_72b_zero-shot,0.00172,0.01118,0.08942,0.39381,0.01376,0.01634,0.0,0.0
qwen_PS_AE_checkqwen2.5_7b_PS_AE_check,0.0215,0.04041,0.2313,0.27171,0.05331,0.03611,0.0,0.0
qwen_zero-shot-CoTqwen2.5_14b_zero-shot-CoT,0.04471,0.01204,0.1049,0.34222,0.01548,0.01978,0.0,0.0
llama3_8b_instruct_one-shot,0.01548,0.04471,0.12726,0.42046,0.03783,0.08083,0.0,0.0
qwen_PS_originalqwen2.5_14b_PS_original,0.14445,0.01118,0.05761,0.35856,0.01118,0.01806,0.0,0.0
llama2_13b_one-shot-CoT,0.03439,0.07223,0.23388,0.17455,0.16853,0.11264,0.0,0.0
qwen2.5_72b_PS_AE_check,0.0043,0.01032,0.04901,0.38521,0.0086,0.0172,0.0,0.0
llama2_7b_plan-and-check,0.08083,0.03267,0.1006,0.10318,0.30181,0.36801,0.0,0.0
